Applicant ID,Application Date,First Name,Last Name,Gender,Date of Birth,Phone Number,Email,Address,City,State,Zip Code,Country,Education Level,Years of Experience,Desired Salary,Job Title,Status,Vacancy Type,source,Role Type,Department,Position,Recruiter
1002,2023-04-13,Stanley,Lewis,Male,1965-04-29,+1-451-574-5308x1681,grossmark@example.com,8116 Stuart Loop,Port Margaretfurt,TN,14726,Greenland,Bachelor's Degree,17,64575.84,"Designer, furniture",Rejected,Replacement,Social Media,Mid-Level,Marketing,Full-Time,Alexandra Hall
1003,2023-04-14,Javier,Li,Female,1973-03-10,(858)901-5499,katiemaldonado@example.com,5940 Barr Villages Suite 075,Dianaland,TX,4699,China,PhD,20,39422.71,"Sound technician, broadcasting/film/video",In Review,Replacement,LinkedIn,Operational,Marketing,Contract,Keith Curtis
1004,2022-01-25,Christopher,Johnston,Other,2001-04-04,(853)681-1839x2010,sheila73@example.com,442 Lewis Mount,Youngfurt,GA,34455,Ghana,High School,8,51045.11,Air cabin crew,Offered,New,Social Media,Operational,IT,Full-Time,William Smith
1005,2022-06-23,Melissa,Hicks,Other,1978-06-17,364-575-8478x67812,emilypatterson@example.org,95961 Taylor Circles Apt. 169,East Ashleyborough,IN,21014,Solomon Islands,Master's Degree,0,52792.86,Art therapist,In Review,New,Naukri,Mid-Level,R&D,Contract,Wendy Gibson
1006,2020-10-28,Christian,Maddox,Female,1983-06-14,(894)940-2919,pvelasquez@example.net,3030 Bell Islands,Boonefort,NC,34763,Liberia,Master's Degree,18,97746.62,"Engineer, electronics",Interviewing,New,LinkedIn,Operational,Marketing,Part-Time,Keith Curtis
1007,2021-03-21,Paul,Hammond,Female,1963-08-16,4799117423,aclayton@example.net,58473 Jenna Trail,Port Barry,GA,57472,Congo,High School,11,80119.39,"Scientist, research (maths)",Interviewing,Replacement,LinkedIn,Operational,HR,Full-Time,Joseph Mendoza
1008,2022-08-13,Madison,Williamson,Male,1978-09-07,001-902-992-9557x692,jeffreyellis@example.com,24740 Gregory Stravenue Suite 212,New Luisfort,VA,71682,Pitcairn Islands,Bachelor's Degree,0,41578.78,"Teacher, primary school",Offered,Replacement,LinkedIn,High-Level,Sales,Part-Time,Joseph Mendoza
1009,2020-10-10,Rachael,Duran,Male,1997-09-11,+1-738-583-6354x63335,hamptontimothy@example.net,375 Flowers Well,Amandashire,PW,25218,Spain,High School,15,44489.6,Phytotherapist,Offered,New,Indeed,Mid-Level,R&D,Part-Time,Wendy Gibson
1010,2021-07-12,Sherri,Taylor,Male,1983-04-24,915.372.0499,cshaw@example.net,037 Quinn Route,Garrisonmouth,CA,82074,Gabon,Master's Degree,4,97363.53,"Pilot, airline",Interviewing,Replacement,Referral,Mid-Level,Finance,Part-Time,Alexandra Hall
1011,2020-12-12,Jennifer,Weaver,Other,1998-10-22,852.435.8495,sloankrista@example.org,700 Quinn Green Suite 066,Haileyville,MS,37729,Switzerland,PhD,19,39252.38,Theatre director,Rejected,Replacement,Walk-In,Mid-Level,Sales,Contract,Alexandra Hall
